"id","name","agency","genres","image_url","popularity","songkick_id","spotify_url","spotify_id","spotify_followers"
189,"Loud Luxury","WME","edm, tropical house","https://i.scdn.co/image/504549a69a84517c1158e47cf727be9307a99044",81,5862829,"https://open.spotify.com/artist/6t1gpxYbY8OlLA7D2RiikQ","6t1gpxYbY8OlLA7D2RiikQ",42906
190,"Madeon","WME","big room, complextro, edm, electro house, electropop, filter house","https://i.scdn.co/image/0f7ac71d433dec24ec02024825af7b4f137847fe",62,4660573,"https://open.spotify.com/artist/4pb4rqWSoGUgxm63xmJ8xc","4pb4rqWSoGUgxm63xmJ8xc",403801
191,"Mako","WME","big room, deep tropical house, edm, electro house, indie poptimism, progressive electro house, tropical house","https://i.scdn.co/image/5445f2f3243b9a33fb6b24ee61f7621f51030060",70,281441,"https://open.spotify.com/artist/0Ye4nfYAA91T1X56gnlXAA","0Ye4nfYAA91T1X56gnlXAA",71626
192,"Malaa","WME","brostep, edm, electro house, electronic trap, house","https://i.scdn.co/image/6fe6f055cc5cd2ec0c2950b238128371d6368e0e",57,8673349,"https://open.spotify.com/artist/7w1eTNePApzDk8XtgykCPS","7w1eTNePApzDk8XtgykCPS",77303
193,"Martin Buttrich","WME","german techno, microhouse, minimal tech house, minimal techno, tech house","https://i.scdn.co/image/f49cc37a74b52c823cdeed93f290f1dd49b79308",36,582374,"https://open.spotify.com/artist/2bP72uOaVvJ2syINURI42n","2bP72uOaVvJ2syINURI42n",12411
194,"Martin Garrix","WME","big room, edm, pop, progressive house, tropical house","https://i.scdn.co/image/990f17c31b1cb4b4b2bc7b3d4780e2c9fd3a846a",87,5003643,"https://open.spotify.com/artist/60d24wfXkVzDSfLS6hyCjZ","60d24wfXkVzDSfLS6hyCjZ",7617950
195,"Massive Attack","WME","downtempo, electronic, trip hop","https://i.scdn.co/image/c8bbeedb05f38ae5cb982a7daf4bf7129cca892c",67,546131,"https://open.spotify.com/artist/6FXMGgJwohJLUSr5nVlf9X","6FXMGgJwohJLUSr5nVlf9X",974147
196,"Maya Jane Coles","WME","deep disco house, deep house, house, microhouse, minimal tech house, tech house","https://i.scdn.co/image/9109d918a8c139a45f31ef25c8bf5ef95b22f08a",55,646004,"https://open.spotify.com/artist/6TshTCYwh9ySzOO6Jy4Ux2","6TshTCYwh9ySzOO6Jy4Ux2",143232
197,"Michael Brun","WME","big room, edm, progressive electro house","https://i.scdn.co/image/ab4e286f78b9b10507708cb2f1ce5ceae49602e5",61,4714098,"https://open.spotify.com/artist/1HcAkAeL4xf02wzAnl7mIV","1HcAkAeL4xf02wzAnl7mIV",24121
198,"M.I.A.","WME","dance pop, escape room, new rave, pop","https://i.scdn.co/image/31ef1aaf80f623deaeda9c8d5a4074b7f8b34516",69,493293,"https://open.spotify.com/artist/0QJIPDAEDILuo8AIq3pMuU","0QJIPDAEDILuo8AIq3pMuU",717358
199,"Michael W. Smith","WME","ccm, christian alternative rock, christian music, christian rock, world worship, worship","https://i.scdn.co/image/3708bb38da696479c22a6f0e88345750c8d9d348",61,268653,"https://open.spotify.com/artist/5aBxFPaaGk9204ssHUvXWN","5aBxFPaaGk9204ssHUvXWN",201951
200,"Miike Snow","WME","alternative dance, dance-punk, electropop, indie pop, indie rock, indietronica, modern rock, new rave, shimmer pop, swedish electropop, swedish indie pop, swedish synthpop","https://i.scdn.co/image/b3944378d08ba28b16c494cc7f63703175169251",63,2391223,"https://open.spotify.com/artist/4l1cKWYW591xnwEGxpUg3J","4l1cKWYW591xnwEGxpUg3J",464937
201,"Museum Of Love","WME","etherpop, gauze pop","https://i.scdn.co/image/dfc4bf71d56ce85c3565ca941c175a925f0b3aef",21,7063309,"https://open.spotify.com/artist/2nIzOTNOvPxPlgzB4GQHPc","2nIzOTNOvPxPlgzB4GQHPc",2891
202,"NERO","WME","brostep, drum and bass, edm, electro house","https://i.scdn.co/image/02c87a6ce8c51f4a9f2198ab870169597f3e99ca",59,53462,"https://open.spotify.com/artist/4uRYpUQZrNrY5t8tAv3XrD","4uRYpUQZrNrY5t8tAv3XrD",656561
203,"No Mana","WME","complextro, edm, electro house, progressive house","https://i.scdn.co/image/8b9571ab2156cd6af10677fd69444735dbbe8b71",42,8594189,"https://open.spotify.com/artist/20yuGdfbRkW0HH3OfG1Nkg","20yuGdfbRkW0HH3OfG1Nkg",17798
